str1,str2
k=0,"(0,1)"
A E / /,m / / n
2^{x},-\frac{3}{2}
b=a,a_{i}=
2 \sqrt{3},\sqrt{3}
\frac{\pi}{6},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{8}{9},\frac{16}{3}
M C,S_{5}
v-t,\left\{a_{n}\right\}
x_{0},\left\{a_{n}\right\}
c=2 a-b,\left\{a_{n}\right\}
B D=,\sqrt{3}+1
"(2,16)","(-\infty, a)"
\triangle A B C,\triangle A B C
E D=1,\sqrt{3}+1
\frac{1}{5},\frac{\pi}{3}
\alpha \perp \gamma,A C=4
f(x),f(x)
\frac{1}{3},-\frac{3}{2}
f(x)=0,"(-\infty, a)"
M=\lg A-,c<\frac{1}{4}
f(x),f(x)
x=\frac{\pi}{4},\boldsymbol{e}_{1}
"(2, \sqrt{2})","(-\infty, a)"
A B C,"(-\infty, a)"
"(a, b)","(-\infty, a)"
C>\frac{\pi}{2},c<\frac{1}{4}
x=1,"[0,1]"
\left\{a_{n}\right\},\left\{a_{n}\right\}
x+y=4,y=\sin x
k=-3,\left\{a_{n}\right\}
C F \perp A F,60 \sim 65
T_{n}=n,-\frac{\pi}{6}
"A, B, C",\triangle B C C
3 \sqrt{10},\sqrt{3}+1
64 \sqrt{6} \pi,60 \sim 65
\triangle A B C,\triangle A B C
a_{10}=0,"(-\infty, a)"
y<z<x,c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
\frac{2 \pi}{3},\frac{16}{3}
C_{2},(\rho \geqslant 0)
\sqrt{5},\sqrt{3}
0<\varphi<\pi,A C=4
f(x),f(x)
"[60,70)",60 \sim 65
F_{2}=1,a_{i}=
\sqrt{2},S_{5}
a=6,5(\mu-
x=x_{0},a_{i}=
f(x),f(x)
S_{n},S_{5}
"1,0)","(0, a)"
\frac{7}{9},\frac{16}{3}
\triangle A B C,\triangle A B C
e=2,S_{5}
-\frac{1}{x},-\frac{\pi}{6}
p_{1},A D_{1}
"(0,+\infty)","(-\infty, a)"
a_{8},S_{5}
f(x),(x)
"A, B, C",\left\{a_{n}\right\}
a+b,c<\frac{1}{4}
"(0, \sqrt{2})","(-\infty, a)"
P,-\frac{3}{2}
"(1, \sqrt{2}]","(-\infty, a)"
"a>0, b>0",\ln |x-y|<0
y=2 x-1,y=x
\sqrt{3}-1,\sqrt{3}+1
x_{n} \neq 0,60 \sim 65
\frac{1}{3},\frac{\pi}{3}
"[45,55)",60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
p_{100},\ln |x-y|<0
"(a-1, a)",(\rho \geqslant 0)
f(0)=0,"(-\infty, a)"
m=,c<\frac{1}{4}
x \theta y,\left\{a_{n}\right\}
"[25,35)",60 \sim 65
"A, B",T_{n}
D D_{1},"(-\infty, a)"
l_{2},\left\{a_{1}
\sqrt{3},\sqrt{3}
\alpha,\frac{16}{3}
f(x),f(x)
f(3)=,"(-\infty, a)"
y=g(\theta),\ln |x-y|<0
\{5\},\left\{a_{n}\right\}
\pi \in(-\infty),60 \sim 65
y=x^{3},y=x
9: 22,\triangle B C
\frac{\pi}{2}-\theta,-\frac{\pi}{3}
\triangle A B C,\triangle A B C
A \cap B=B,\triangle A B C
f(x),(x)
25.5,"(-\infty, a)"
f(1)=0,60 \sim 65
\alpha,\frac{16}{3}
4 \sqrt{3},\sqrt{3}
"A(1,0)","(-\infty, a)"
5<x<20,60 \sim 65
\frac{4 \pi}{3},\frac{16}{3}
\sqrt{5},\sqrt{3}+1
S_{n},S_{5}
S A=A C,y=x
\triangle G A C,\triangle A B C
\sqrt{5},\sqrt{3}
A B,T_{n}
-\frac{3}{2},-\frac{3}{2}
B D^{\prime},"[60, B C"
3 x-y+1=0,\ln |x-y|<0
m / / n,m / / n
()_{1},\left\{a_{n}\right\}
b_{6},\left\{a_{n}\right\}
n=n+1,"[1,3]"
\left\{b_{n}\right\},\left\{a_{n}\right\}
a / / b,m / / n
"(0,4]","(-\infty, a)"
5 \sin B=,\ln |x-y|<0
f(x)>3,y)
"(0,1)","(-\infty, a)"
\frac{1}{3},\frac{16}{3}
"\{4,5\}",\left\{a_{n}\right\}
"A(2,0)","(-\infty, a)"
"E(1,0)","(-\infty, a)"
y=f(x),60 \sim }
-80,\ln |x-y|<0
8^{4} / 0,\triangle A B C
A E B F,\triangle A B C
Y \in(400,"(-\infty, a)"
\frac{1}{2},\boldsymbol{F}_{1}
"x \in(1,+\infty)",\ln |x-y|<0
d<S_{9},\sqrt{3}+1
A \oplus,(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
a_{2} \neq 1,y=x
\left\{b_{n}\right\},\left\{a_{n}\right\}
y=b x+a,y=\sin x
2-\sqrt{3},\ln |x-y|<0
M-P A-C,A C=4
\triangle A B D,\triangle A B C
4 a_{1},\left\{a_{n}\right\}
c>2,\ln |x-y|<0
\alpha \perp \beta,"[0,1]"
x+y-7=0,\left\{a_{n}\right\}
D(X),A C=4
f(x),f(x)
2 a-2,T_{n}
P B D \perp,"(-\infty, a)"
C_{1},S_{5}
A B C,\triangle A B C
x \in \mathbf{R},x \in
P-\Lambda B C,A C=4
y=f(x),y)
S_{n},\frac{16}{3}
() Q,60 \sim 65
|A F|=8,\ln |x-y|<0
15 x^{\prime},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
y,\boldsymbol{e}_{1}
x>0,"(0,1)"
x_{0},\sqrt{3}
"Q(0,-b)","[60,70]"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\sqrt{3},\sqrt{3}+1
c>0,"(-\infty, a)"
\triangle A B C,\triangle A B C
A \cap B,A C=4
\left\{a_{n}\right\},"(-\infty, a)"
a_{2}=-1,a_{i}=
\pi,\boldsymbol{e}_{1}
"(1,+\infty)","(-\infty, a)"
(3.0),\left\{a_{n}\right\}
\frac{1}{4},\frac{1}{3}
f(x),f(x)
4 \sqrt{3},c<\frac{1}
\ln (x+1)<0,\ln |x-y|<0
"(1,+\infty)","(-\infty, a)"
a>b>c,60 \sim 65
\frac{\pi}{3},\frac{\pi}{3}
-3-i,\left\{a_{n}\right\}
y_{1},\boldsymbol{F}_{1}
\frac{1}{2},\frac{1}{3}
M F,T_{n}
\triangle A B C,\triangle A B C
k=,\left\{a_{n}\right\}
a \neq 1,\sqrt{3}+1
(a>b>0),"(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"a, b",\left\{a_{n}\right\}
"(1,0)","(0,1)"
"(\ln a,+\infty)",\ln |x-y|<0
\frac{2 \pi}{3},-\frac{3}{2}
f(x),f(x)
A>1000,\triangle B P Q
\pi,\boldsymbol{e}_{1}
\frac{6}{7},\frac{1}{3}
m>n,c_{m}
\frac{2}{9},\frac{16}{3}
\frac{3}{4},\frac{\pi}{3}
f(2018),"(-\infty, a)"
C C_{1},A C=4
f^{\prime}(x),f(x)
"(1, f(1))",A C=4
A H \perp C P,\triangle B P Q
k=1,\boldsymbol{F}_{1}
9-2 \sqrt{3},\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
"B(3,2)",60 \sim 65
0.9,"(0,1)"
x>0,>0
y=x,y=\sin x
"A(1,2)","(-\infty, a)"
M \subseteq N,A C=4
-3,\left\{a_{n}\right\}
c=0,"(0,1)"
\cos 2 \alpha,\left\{a_{n}\right\}
f(-2)=1,\sqrt{3}+1
"\{1,3,5\}","[1,3]"
\frac{16}{3},\frac{16}{3}
B_{1} C,"(0, a)"
n=4,c<\frac{1}{4}
a=2 a+1,\ln |x-y|<0
y=2^{-x},\left\{a_{n}\right\}
\frac{\pi}{12},\frac{16}{3}
"(-1,2)","(-\infty, a)"
a+b,\left\{a_{n}\right\}
"A(1,4)",g(x)
\sqrt{10},\sqrt{3}+1
5^{7},\frac{16}{3}
\frac{7}{3},\frac{\pi}{3}
|\boldsymbol{\alpha}|=1,(x)
"[-\pi, \pi]",\ln |x-y|<0
x=1,A C=4
\triangle B C D,\triangle A B C
S_{6}=14,A C=4
f(x),f(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
12,\sqrt{3}+1
7^{\prime},\left\{a_{n}\right\}
4 \overrightarrow{O M},\ln |x-y|<0
a_{0}=,a_{i}=
\left\{a_{n}\right\},\left\{a_{n}\right\}
f\left(a_{n}\right),\left\{a_{n}\right\}
a=-3,a_{i}=
f(x),\left\{a_{n}\right\}
"[3,+\infty)",\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
3 \sqrt{3},\left\{a_{n}\right\}
C_{1},T_{n}
P A=A B,\ln |x-y|<0
f(x),f(x)
\alpha \perp \beta,A C=4
\frac{\pi}{4},\frac{16}{3}
\lambda+,\sqrt{3}+1
0.9996,\ln |x-y|<0
\alpha,S_{5}
"(4,5)","(-\infty, a)"
B M / /,m / / n
f(x),f(x)
"[2-\ln 3,2)",60 \sim 65
T=\pi,-\frac{\pi}{6}
\left\{a_{n}\right\},\left\{a_{n}\right\}
C=\frac{\pi}{3},e=\frac{1}{3}
|B F|=4,"[1,3]"
10,"(0,1)"
"(-1,2)","(-\infty, a)"
f(x),f(x)
S_{n},\left\{a_{n}\right\}
\triangle A B C,60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(2,0)","(0,1)"
f(x),60 \sim 65
\frac{1}{5},\frac{1}{3}
M N \perp x,\ln |x-y|<0
P-M N Q,\ln |x-y|<0
|A B|,y=\sin x
P A D,\sqrt{3}+1
y=\ln (2 x),\ln |x-y|<0
m \in \mathbf{R},\ln |x-y|<0
z=3 x+2 y,y=\sin x-
a_{n}<,\left\{a_{n}\right\}
C: x y=1,a_{n}\right\}
\frac{5}{9},\frac{16}{3}
x_{1} \neq 1,y=\sin x
A_{j},A_{1}
M N,\sqrt{3}
S_{4 n}=,\sqrt{3}+1
3.28,\triangle B P Q
"[1, \mathrm{e}]","[60,70]"
"(1, f(1))",A C \perp B C
2 x-y+1=0,\ln |x-y|<0
F,\frac{1}{3}
"A(-2,0)",\ln |x-y|<0
a_{2}=,z=
\triangle() B C,\triangle A B C
F_{2},\left\{a_{n}\right\}
a>\sqrt{3}+1,\ln |x-y|<0
f(0)=1,"(-\infty, a)"
\sin \alpha+\cos \beta=1,\ln |x-y|<0
"x, y",y=\sin x
60^{\circ},"(0,1)"
\frac{2}{5},\frac{\pi}{3}
p_{1},\boldsymbol{F}_{1}
b<c<a,A C=4
P-A B C,A C=4
\widehat{\Lambda B},T_{n}
f(x) \geqslant 1,"(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
C_{1},S_{5}
f(x),f(x)
\frac{7}{10},"[1,3]"
"(-1,1)","(0,1)"
\left\{b_{n}\right\},\left\{a_{n}\right\}
C^{\prime},\left\{a_{n}\right\}
S_{n},T_{n}
x-2 y+2=0,\ln |x-y|<0
3 x-2 y=6,\left\{a_{n}\right\}
C_{1} C,"(0,1)"
\overrightarrow{A B},T_{n}
\left\{a_{n}\right\},\left\{a_{n}\right\}
x=4+t,c<\frac{1}{4}
y=,\sqrt{3}
"d=2, q=3",\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
2 \sqrt{5},\sqrt{3}+1
"\{1,-3\}",\left\{a_{n}\right\}
\sin A<\cos B,\ln |x-y|<0
x=1,c<\frac{1}{3}
S_{n},\frac{16}{3}
g(x)+k=0,60 \sim 65
a_{1}=4,e=\frac{2}{3}
\sigma>0,"(0,1)"
\left\{b_{n}\right\},\left\{a_{n}\right\}
u_{2},\left\{a_{n}
y=2 x,-\frac{\pi}{3}
a / / b,m / / n
f(x),f(x)
\cos A=,\ln |x-y|<0
>0),"(-\infty, a)"
a_{n},\left\{a_{n}\right\}
|\overrightarrow{D A}|=,\triangle B C=
\Delta<0,\triangle A B C
T_{6}=3,-\frac{\pi}{6}
A B,\boldsymbol{F}_{1}
\alpha / / \beta,m / / n
a_{1}=1,a_{i}=
/ P() M,\triangle B P Q
\triangle A B E,\triangle A B C
A B C D,80 \%
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle P A C,\triangle A B C
f(x),(x)
1-b<0,\ln |x-y|<0
F_{1},F_{1}
"(-1,1)","(0,1)"
\beta),\sqrt{3}
2 x-y-a=0,\ln |x-y|<0
\frac{\pi}{2},\frac{16}{3}
a>0,\left\{a_{n}\right\}
F(x),f(x)
B_{1} C,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
4+4 \sqrt{2},\left\{a_{n}\right\}
"[20,30)",60 \sim 65
A A_{1},\boldsymbol{e}_{1}
\theta=45^{\circ},-\frac{\pi}{6}
A B=1 .,A B=2
B_{3},-\frac{3}{2}
f(x),f(x)
y=f(x),60 \sim 65
"(-\infty, 2]","(0,1)"
"[40,60)",\ln |x-y|<0
"(0,1)","(0,1)"
P-A B C D,\ln |x-y|<0
a_{3}-1,c<\frac{1}{4}
S_{2 n}-,a_{i}=
\odot O_{1},"(0,1)"
|A B|,A D_{1}
\frac{3}{5},\frac{16}{3}
M>0,>0
y=2 a,-\frac{\pi}{6}
f(x)>0,60 \sim 65
v=1-,a_{i}=
4 \overrightarrow{O M},"(-\infty, a)"
P A I,\left\{a_{n}\right\}
g(x),(x)
"[-1,1]","\{2,3,4\}"
\triangle A B C,\triangle A B C
90^{\circ},(0^{1}
x^{2},T_{n}
\frac{1}{2},-\frac{3}{2}
"a, b, c",\left\{a_{n}\right\}
g(x),(x)
y=f(x),y=f(x)
"(0,1)","(0,1)"
30^{\circ},"(-\infty, a)"
-\frac{2}{3},-\frac{3}{2}
"a=1, b=2",\ln |x-y|<0
x>y>0,-\frac{\pi}{6}
3 \sqrt{3},\sqrt{3}
N,-\frac{3}{2}
\lambda=\mu=1,-\frac{\pi}{6}
\triangle D A C,\triangle A B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
x>2 z,\left\{a_{n}\right\}
a_{1}=,z=
n=a+b+,y=\sin x
C,\boldsymbol{e}_{1}
B E=,a_{i}=
\overline{\boldsymbol{z}},\frac{16}{3}
\lambda \in \mathbf{R},60 \sim 65
a c>b c,60 \sim 65
"p(-2,1)",\ln |x-y|<0
\odot O_{1},"(0,1)"
"B(0,-1)","(-\infty, a)"
x>1,\sqrt{3}
M_{2},T_{n}
x=-4,A C=4
5+2 i,\left\{a_{n}\right\}
[x],"[0,1]"
y=x,y=x
l_{2},-\frac{3}{2}
\frac{3}{5},-\frac{3}{2}
a<0,\triangle B C
"M(4,2)",60 \sim 65
"[130,140)",\ln |x-y|<0
"x \in[2,+\infty]","[60,70]"
P F_{1},\left\{a_{n}\right\}
", F, A",c<\frac{1}
x \geqslant 1,c<\frac{1}{4}
"[75,90]","[60,70]"
l_{2},-\frac{3}{2}
\boldsymbol{O},z=
l: y=-1,c<\frac{1}{4}
"(0, k-1)",\ln |x-y|<0
l_{2},T_{n}
\alpha,\boldsymbol{e}_{1}
a>0,\boldsymbol{F}_{1}
g(x),(x)
b \geqslant-2,c<\frac{1}{4}
f(x),f(x)
"m, n",\left\{a_{n}\right\}
"[2,3]",5(3+\sqrt{3})
B=\{y \mid y=,c<\frac{1}{4}
f^{\prime}(x),f(x)
n \in \mathbf{N},T_{n}
-\sqrt{3},-\frac{3}{2}
y=f(x),60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
\ln a>\ln b,\ln |x-y|<0
a \perp(a-b),"(-\infty, a)"
A D=2,\sqrt{3}+1
S_{n},\left\{a_{n}\right\}
\sqrt{3},\sqrt{3}
P^{\prime},A D_{1}
x-y-2=0,\left\{a_{n}\right\}
"B, E",\boldsymbol{F}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{28}{3},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
100],"[0,1]"
|2 a-b|=2,\ln |x-y|<0
f(3 a),60 \sim 65
F_{2},a_{i}=
(-I) N E,\ln |x-y|<0
"a<0, b<0",60 \sim 65
\frac{\pi}{3},\frac{\pi}{3}
\alpha \cap \beta=a,"[60,70]"
S_{n},S_{5}
\left\{a_{n}\right\},\left\{a_{n}\right\}
18 \sqrt{3},\sqrt{3}+1
60^{\circ},"(-\infty, a)"
g(x)>0,y)
a^{2}+,c<\frac{1}{4}
g(a),f(x)
a=,z=
a>0,\sqrt{3}
2 \sqrt{5},\left\{a_{n}\right\}
a<0,\ln |x-y|<0
"x \in[-1,1]","[60, y+1]"
\text { R ) },F_{1}
\tan \theta=,\ln |x-y|<0
2 \times 2,\triangle B C
1-2 i,z=
a_{1}=0,"5(0,1)"
\triangle B E F,\triangle B C C
m / / \beta,m / / n
g(x),"(0,1)"
A_{1},\boldsymbol{e}_{1}
x_{0} \approx,\sqrt{3}
\sqrt{2},\sqrt{3}
C_{1},\left\{a_{n}\right\}
\left.a_{n}\right\},\left\{a_{n}\right\}
y=\frac{1}{x},c<\frac{1}{4}
c_{1}=1,c<\frac{1}{4}
\mathrm{SO}_{2},"(-\infty, a)"
"d(P, l)","(-\infty, a)"
P A C \perp,\ln |x-y|<0
f(x)>0,\left\{a_{n}\right\}
a / / b,m / / n
\cos \alpha=,\ln |x-y|<0
x>0,"(0,1)"
\triangle A B C,\triangle A B C
y=f(x),y=f(x)
"(-1,1)",(x)
\left.x_{0}\right),"(-\infty, a)"
\xi_{k}=0,"(0,1)"
\omega,S_{5}
"[0,15)",60 \sim 65
C_{1} B,f(x)
a=2,z=
"(1, f(1))",60 \sim 65
4 \sqrt{13},\sqrt{3}
\sqrt{2} \pi,\sqrt{3}+1
f(x),f(x)
y^{2}=4 x,c<\frac{1}{4}
t=3 t-1,A D_{1}
"a>0, b>0","[60,70]"
A P \perp B D,"[60,70]"
x=0,\neg p
90^{\circ},60 \sim 65
"(1,3)",\left\{a_{n}\right\}
\tan \theta=,\ln |x-y|<0
|x-y|>1,c<\frac{1}{4}
S_{4}=,\sqrt{3}+1
|a-b|,c<\frac{1}{4}
I) B_{1},\sqrt{3}+1
x O y,60 \sim 65
"a>0, b>0",\ln |x-y|<0
p<2<q,\left\{a_{n}\right\}
\neg p \wedge q,A C \perp B C
S_{n},\left\{a_{n}\right\}
x O y,80 \%
a>3,c<\frac{1}{4}
g(3)=8+a,60 \sim 65
a_{2021},\ln |x-y|<0
A D E \perp,"[60, a)"
\triangle A B C,\triangle A B C
C_{1},"(0,1)"
l_{2},A D_{1}
\cos C,60 a_{n}
1.8 \%,\left\{a_{n}\right\}
"[-1,0]","[60,70]"
\left\{b_{n}\right\},\left\{a_{n}\right\}
g(x),f(x)
\triangle A B C,\triangle A B C
\triangle A B C,\triangle A B C
S_{n},\frac{16}{3}
m(m \geqslant 3),\ln |x-y|<0
y^{2}=4 x,y=\sin x
y=k x,c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f[f(x)],y+5=0
p_{2},T_{n}
\sqrt{2},\sqrt{3}
"b=(1,-6)",\ln |x-y|<0
3 \sqrt{3},\sqrt{3}+1
a-c=2,\left\{a_{n}\right\}
C_{1},"(0,1)"
f(x)=m,\ln |x-y|<0
F_{2} P,F_{2}
B E=C F=a,\ln |x-y|<0
A_{1} E B,A C=4
a=1,z=0
\frac{3}{2},\frac{16}{3}
S C B,-\frac{3}{2}
\frac{1}{2},\frac{1}{3}
g(x),y=\sin x
a \in \mathbf{R},\boldsymbol{F}_{1}
x-2 y-1=0,\ln |x-y|<0
y-6=0,60 \sim 65
\frac{\pi}{4},\frac{\pi}{3}
"[0,+\infty)",\left\{a_{n}\right\}
a_{2},\sqrt{3}+1
\pm 2,\left\{a_{n}\right\}
\triangle A B C,\triangle B P Q
x-y-4=0,x+y+8=x y
"[3,4]",\boldsymbol{F}_{1}
"(-\infty, 2]","(-\infty, a)"
a,S_{5}
B=\frac{\pi}{4},e=\frac{2}{3}
A E,\sqrt{3}+1
"R(4,-x)",\ln |x-y|<0
\sqrt{2},\sqrt{3}
50^{\circ},60 \sim 65
t(t>0),"(-\infty, a)"
"[22.5,25)",60 \sim 65
|z|=,\neg p
4 x,T_{n}
\sqrt{3},\sqrt{3}
B C \perp C F,60^{\circ}
\left\{a_{n}\right\},\left\{a_{n}\right\}
|P Q|,"(-\infty, a)"
O_{2},"(0,1)"
"\lambda, \mu",\left\{a_{n}\right\}
l_{1},A_{1}
"[5,10)",\ln |x-y|<0
b_{2020}=,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
\omega=2,\triangle B P Q
"x \in[0,2)",60 \sim 65
\left\{a_{n}\right\},\left\{a_{n}\right\}
-A C)=18,A B=2
a \in \mathbf{R},5(x)
\frac{5}{4},\frac{\pi}{3}
f(x),f(x)
f(x),f(x)
1+2 i,\sqrt{3}+1
f(x),f(x)
"x \in[0,3)",\ln |x-y|<0
\triangle A B C,\triangle A B C
P A / /,m / / n
"(1,+\infty)","(0, a)"
x \in \mathbf{R},\left\{a_{n}\right\}
"A(1,0)","(-\infty, a)"
\frac{1}{17},\boldsymbol{F}_{1}
\Lambda C,\triangle B C Q
\left\{b_{n}\right\},\left\{a_{n}\right\}
"[35,45)",60 \sim 65
x+y+3=0,\ln |x-y|<0
|a|=,z=
m<0,\triangle B C C
f(x),f(x)
\frac{1}{2},\frac{1}{3}
A B C D,"(-\infty, a)"
"(0, m)","(0,1)"
f(x),(x)
\frac{97}{98},\frac{16}{3}
e-1,A C=4
M(-1.1),A C=4
b=0,"(0,1)"
f(x),f(x)
n=n+1,\boldsymbol{F}_{1}
"[165,170",\ln |x-y|<0
A B=,\ln |x-y|<0
\triangle A B C,\triangle A B C
a_{n},\left\{a_{n}\right\}
x=a,A C=4
a=2,z=
A \subseteq B,5(3+\sqrt{3})
\left\{b_{n}\right\},\left\{a_{n}\right\}
a_{10}=,\left\{a_{n}\right\}
x-2 y+1=0,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
\lambda+\mu,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
\frac{4}{3},\frac{\pi}{3}
a_{n}=,a_{i}=
[90,60 \sim 65
\sqrt{3},\sqrt{3}
|C D|,"(0,1)"
n \geqslant 2,\sqrt{3}+1
f(x),f(x)
D(a),60 \sim 65
"a, b",\left\{a_{n}\right\}
2 n,\left\{a_{n}\right\}
P C D ; 3,"(-\infty, a)"
"[50,100)",60 \sim 65
"(1, e)","(0,1)"
x-y=0,(x)
B C=3,\ln |x-y|<0
\cos \alpha=,\ln |x-y|<0
O_{2},"(0,1)"
45^{\circ},A C=4
\frac{1}{2},\frac{16}{3}
"A, B",A C=4
\left\{a_{n}\right\},\left\{a_{n}\right\}
B^{\prime},\boldsymbol{F}_{1}
\frac{\pi}{4},\frac{\pi}{3}
1 \%,\sqrt{3}+1
\triangle C D E,\triangle A B C
"A F_{1},",\left\{a_{n}\right\}
\lambda+\mu=,y=\sin x
e=\frac{1}{3},-\frac{\pi}{3}
"B C, C D","(-\infty, a)"
y=,a_{n}=
m \geqslant 1,\left\{a_{n}\right\}
"x, y",\left\{a_{n}\right\}
-\sqrt{5}<k<0,\ln |x-y|<0
O_{1} A=,y=\sin x
f(x),f(x)
a>b,\left\{a_{n}\right\}
"(0,+\infty)",\ln |x-y|<0
f(-2)=1,"(-\infty, a)"
x=\frac{\pi}{4},e=\frac{2}{3}
95 \%,60 \sim 65
M N / /,m / / n
i=1,F_{2}
y^{2}=1,c<\frac{1}{4}
\frac{\pi}{8},\frac{\pi}{3}
f(x),60 \sim 65
"[1,+\infty)","[60,70]"
S_{n},\left\{a_{n}\right\}
A_{1},A D_{1}
f(x),f(x)
"[1,+\infty)","[t, t+1]"
\triangle A C O,\triangle A B C
a_{1}=2,"(-\infty, a)"
\frac{1}{4},\frac{1}{3}
a_{1},A C=4
"q_{1}, q",\left\{a_{n}\right\}
M N=() M,\ln |x-y|<0
\text { 3) },"(-\infty, a)"
k_{2},A C=4
b>0),"(-\infty, a)"
\frac{1}{50},\frac{1}{3}
\frac{\pi}{12},\frac{16}{3}
P A \perp B C,\ln |x-y|<0
b^{2}=a c,-\frac{\pi}{6}
y=|x|-2,\boldsymbol{ }
y=a(x-2)-,\ln |x-y|<0
\frac{9}{8},\frac{16}{3}
A B \perp B C,y+5=\sin x)
"[15,25)",60 \sim 65
a=b+a,\sqrt{3}+1
A B \perp B C,60 \sim 65
a_{2}=2,\left\{a_{n}\right\}
\overrightarrow{A P} \perp,\sqrt{3}
"N(1,2)",60 \sim 65
0<p<1,\triangle B P Q
O M=O N,60 \sim 65
z_{1},S_{5}
C_{1},A C=4
"[20,30]",60 \sim 65
\cos A=,\sqrt{3}+1
B C=4,\triangle B C C
y=f(a x),60 \sim 65
x^{2}+6 x,\ln |x-y|<0
\frac{\pi}{4},\frac{\pi}{3}
g(x),(x)
A B=,\sqrt{3}+1
2+\sqrt{5},\sqrt{3}+1
|O P|,\left\{a_{n}\right\}
S_{n},\sqrt{3}+1
36,\left\{a_{n}\right\}
\cos A,"(-\infty, a)"
"A, B",A D_{1}
2 x+y-3=0,\triangle B P Q
b<a<c,\left\{a_{n}\right\}
f(x),60 \sim 65
\triangle A B C,\triangle A B C
2+2 \mathrm{i},\sqrt{3}+1
a_{1}=,T_{n}
"[-1,+\infty)","[0,1]"
\left\{b_{n}\right\},\left\{a_{n}\right\}
a<5,A B=2
\triangle A B C,\triangle A B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
A C=\sqrt{3},\ln |x-y|<0
\overrightarrow{B C},\left\{a_{n}\right\}
25 \sqrt{3},S_{5}
m>4,c<\frac{1}{4}
x_{n},T_{n}
b_{1}>0,>0
"[4,+\infty)","[60,70]"
-15 x^{4},\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
-24,\sqrt{3}+1
x=\frac{\pi}{2},-\frac{3}{2}
"(0, \sqrt{3})",60 \sim 65
2+\sqrt{3},\sqrt{3}+1
"[1,+\infty)","[60,70]"
\alpha,\boldsymbol{e}_{1}
a>0,\sqrt{3}+1
\theta,"(0,1)"
\left\{a_{n}\right\},"(-\infty, a)"
a_{n},\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
S_{n},T_{n}
"[0,+\infty)","(0,1)"
B E \perp E C,"[60,70]"
\tan \alpha,\left\{a_{n}\right\}
C_{2},5(3+\sqrt{3})
\frac{\pi}{6},\frac{16}{3}
3 \times,\sqrt{3}+1
x=\frac{\pi}{2},-\frac{\pi}{6}
a=\frac{1}{2},c<\frac{1}{3}
\{2\},\left\{a_{n}\right\}
(\subseteq \subseteq U,(x)
k \neq 0,\left\{a_{n}\right\}
50^{\circ},"(0,1)"
b \in \mathbf{C},"(0,1)"
a_{n},\left\{a_{n}\right\}
f(x),f(x)
a \neq 1,c_{m}
\boldsymbol{\Omega}_{2},S_{5}
k>0,"(0,1)"
1.13,\triangle B C C
56,\triangle B P Q
a^{3}>1,\boldsymbol{e}_{1}
x<y,c<\frac{1}{4}
l_{1},A D_{1}
\frac{a}{2},\frac{16}{3}
f(x) \in,"(-\infty, a)"
=1,A B=4
\mathrm{e}=,z=
f(x),f(x)
"[t, t+1]",A C \perp B C
\lambda+\mu,\left\{a_{n}\right\}
"(1,2)","(0,1)"
x+13 y=0,\ln |x-y|<0
G_{1},"(-\infty, a)"
m_{A}=3,\left\{a_{n}\right\}
2 x-y+2=0,60 \sim 65
y=x^{2},e=\frac{2}{3}
c>b>a,\left\{a_{n}\right\}
S_{n},\frac{1}{3}
"x \in(1,2]",\left\{a_{n}\right\}
h(a),\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
-\frac{4}{3},-\frac{\pi}{6}
N:(x,80 \%
\frac{1}{2},\frac{16}{3}
A \cap B=,"(-\infty, a)"
\triangle A B C,\triangle A B C
"Q(2,-1)","(-\infty, a)"
